bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,price
3.0,1.5,1340,7912,1.5,3,313000.0
5.0,2.5,3650,9050,2.0,5,2384000.0
3.0,2.0,1930,11947,1.0,4,342000.0
3.0,2.25,2000,8030,1.0,4,420000.0
4.0,2.5,1940,10500,1.0,4,550000.0
2.0,1.0,880,6380,1.0,3,490000.0
2.0,2.0,1350,2560,1.0,3,335000.0
4.0,2.5,2710,35868,2.0,3,482000.0
3.0,2.5,2430,88426,1.0,4,452500.0
4.0,2.0,1520,6200,1.5,3,640000.0
3.0,1.75,1710,7320,1.0,3,463000.0
4.0,2.5,2920,4000,1.5,5,1400000.0
3.0,1.75,2330,14892,1.0,3,588500.0
3.0,1.0,1090,6435,1.0,4,365000.0
5.0,2.75,2910,9480,1.5,3,1200000.0
3.0,1.5,1200,9720,1.0,4,242500.0
3.0,1.5,1570,6700,1.0,4,419000.0
4.0,3.0,3110,7231,2.0,3,367500.0
3.0,1.75,1370,5858,1.0,3,257950.0
3.0,1.5,1180,10277,1.0,3,275000.0
3.0,1.75,2240,10578,2.0,5,750000.0
4.0,1.0,1450,8800,1.0,4,435000.0
3.0,2.25,1750,1572,2.5,3,626000.0
4.0,2.5,2730,12261,2.0,3,612500.0
4.0,1.75,1600,6380,1.0,3,495000.0
3.0,2.5,2090,10834,1.0,4,285000.0
3.0,1.75,2360,7291,1.0,4,615000.0
4.0,2.25,2200,11250,1.5,5,698000.0
5.0,2.5,2820,67518,2.0,3,675000.0
3.0,2.5,2600,4750,1.0,4,790000.0
4.0,1.75,1560,8700,1.0,4,382500.0
4.0,2.5,2860,3345,2.0,3,499950.0
4.0,2.0,1820,5000,1.5,3,650000.0
4.0,2.5,2820,8408,2.0,3,625000.0
4.0,2.5,3630,42884,1.5,3,400000.0
3.0,2.5,3240,33151,2.0,3,604000.0
2.0,1.0,800,4850,1.0,4,440000.0
3.0,3.0,1850,19966,1.0,4,287200.0
3.0,2.0,1960,13100,1.0,5,403000.0
3.0,2.5,2390,6550,1.0,4,750000.0
3.0,2.25,1580,16215,1.0,4,335000.0
4.0,2.0,1480,8625,1.0,4,260000.0
